Altium Designer Pick and Place Locations
D:\en_cours\sch_altium\BOITE_INUTILE_v1.8\Project Outputs for BOITE_INUTILE_v1.8\Pick Place\Pick Place for BOITE_INUTILE.csv

========================================================================================================================
File Design Information:

Date:       11/01/26
Time:       08:07
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"FB1","600R","TopLayer","CAP-0603","16.4800mm","61.9300mm","90","Ferrite Bead"
"D5","USBLC6-2SC6","TopLayer","SOT23-6_L","23.1900mm","60.9800mm","90","TVS Diode Unidirectionnal"
"R15","1M","TopLayer","RES-0603","3.3600mm","13.3700mm","90","Chip Resistor"
"C21","10nF","TopLayer","CAP-0603","1.7500mm","13.3700mm","90","Ceramic Capacitor Chip"
"S4","FSM4JSMA","BottomLayer","SWITCH_TE_FSM4JSMA","8.0000mm","30.4800mm","0","Switch"
"R14","1M","TopLayer","RES-0603","2.8100mm","32.0700mm","0","Chip Resistor"
"R18","10K","TopLayer","RES-0603","6.2800mm","25.0700mm","180","Chip Resistor"
"R21","100K","TopLayer","RES-0603","11.4300mm","19.5700mm","270","Chip Resistor"
"C27","10nF","TopLayer","CAP-0603","2.8100mm","33.6800mm","0","Ceramic Capacitor Chip"
"S3","SA1-0-102-A04-0004-RS","BottomLayer","SWITCH_SA1-0-102-A04-0004-RS","8.0000mm","10.0800mm","180","Switch"
"C23","10uF","TopLayer","CAP-0805","12.2800mm","37.2400mm","270","Ceramic Capacitor Chip"
"D4","SS1040-AU","TopLayer","Sub_SMA","12.4900mm","55.5900mm","90","Schottky Rectifier Diode"
"C26","10uF","TopLayer","CAP-0805","21.6200mm","32.4400mm","90","Ceramic Capacitor Chip"
"L1","1.5uH","TopLayer","IND_TAIYO_NRS4018T4R7MDGJ","15.9600mm","36.7500mm","0","Inductor"
"C25","10uF","TopLayer","CAP-0805","19.7300mm","36.1600mm","270","Ceramic Capacitor Chip"
"C24","100nF","TopLayer","CAP-0603","14.9722mm","10.3685mm","0","Ceramic Capacitor Chip"
"U5","LIS3DH","TopLayer","LGA16","15.0400mm","7.2800mm","0","Accelerometer"
"R27","10K","TopLayer","RES-0603","11.9222mm","7.2785mm","90","Chip Resistor"
"R26","5.1K","TopLayer","RES-0603","27.4800mm","61.8800mm","90","Chip Resistor"
"R25","5.1K","TopLayer","RES-0603","25.8700mm","61.8800mm","90","Chip Resistor"
"P1","Header 2_2.00mm_JST-B2B-PH-SM4-TB(LF)(SN)","BottomLayer","HDR1X2_2.00mm_JST-B2B-PH-SM4-TB(LF)(SN)","23.5500mm","56.0450mm","180","Header, 2-Pin"
"C22","10uF","TopLayer","CAP-0805","14.1300mm","32.5400mm","270","Ceramic Capacitor Chip"
"R20","100K","TopLayer","RES-0603","9.5200mm","56.9300mm","180","Chip Resistor"
"Y1","40MHz","TopLayer","CRYSTAL_3.2mm_2.5mm_4pts","24.8600mm","17.7200mm","270","Crystal Oscillator"
"U4","ESP32-C3","TopLayer","RHB32_L","19.3300mm","18.0300mm","270","Wi-Fi SOC"
"U3","MAX98357AETE+T","TopLayer","TQFN16_BIS","17.4200mm","45.9600mm","0","Class D Amplifier"
"U2","W25Q128JVSIQ","TopLayer","SOIC208-8_L","23.6700mm","6.8400mm","180","3V 128M-BIT SERIAL FLASH DUAL/QUAD SPI"
"U1","BQ25185DLH","TopLayer","WSON10_0.4mm","16.9500mm","54.9300mm","90","Ultra-low power digital gas sensor"
"REG1","MCP1700T-3302E/TT","TopLayer","SOT-23_L","9.1057mm","49.2132mm","90","Voltage Regulator"
"R8","100K","TopLayer","RES-0603","19.1900mm","54.5500mm","270","Chip Resistor"
"R7","13K","TopLayer","RES-0603","18.4800mm","58.4300mm","90","Chip Resistor"
"R6","1M","TopLayer","RES-0603","20.8300mm","26.0100mm","270","Chip Resistor"
"R5","620","TopLayer","RES-0603","16.8700mm","58.4300mm","90","Chip Resistor"
"R4","10K","TopLayer","RES-0603","20.5588mm","61.9320mm","270","Chip Resistor"
"R3","1M","TopLayer","RES-0603","24.0500mm","26.5100mm","270","Chip Resistor"
"R2","0","TopLayer","RES-0603","22.2900mm","57.3700mm","270","Chip Resistor"
"R1","0","TopLayer","RES-0603","24.0500mm","57.3500mm","270","Chip Resistor"
